,blue_gold,blue_kda,blue_win,blue_towers,blue_barons,blue_dragons,blue_mastery,red_gold,red_kda,red_win,red_towers,red_barons,red_dragons,red_mastery,win,teamId,id
171,41.66239924779552,2.606702186702187,0.32,3.64,0.24,1.24,1608374,38.47144491088239,2.506647907647908,0.36,4.6,0.4,1.48,314804,1,200,BR1_2326801846
172,39.9800681868211,3.498063492063492,0.56,6.48,0.56,2.04,2716077,43.86712575747824,3.6118105228105226,0.48,4.8,0.44,1.8,322721,1,100,BR1_2330710293
173,51.33946296412366,3.834666666666667,0.48,5.92,0.52,1.76,1188109,46.7371386272726,4.648066378066378,0.64,6.2,0.68,2.24,540169,1,200,BR1_2330673875
174,47.9309362991519,2.847261183261184,0.44,3.48,0.24,0.84,407985,47.88406023393701,4.858269841269842,0.84,6.84,0.64,2.2,1150273,1,200,BR1_2330588287
175,48.83190762417723,3.951269841269841,0.68,6.04,0.72,2.08,1275964,41.861683987783856,2.861911976911977,0.44,4.96,0.32,1.68,222673,0,100,BR1_2330542085
176,50.38054142464301,5.424685758685761,0.56,6.2,0.6,1.92,2042391,44.689341109216095,3.254314574314575,0.48,5.04,0.28,1.44,191087,0,100,BR1_2330526034
177,46.417333410575935,4.305111111111112,0.48,4.56,0.48,1.72,593972,40.02646875829104,4.505413364413364,0.6,6.08,0.68,2.12,3902324,1,200,BR1_2330333322
178,41.94835322483982,3.404603174603174,0.6,5.28,0.32,1.48,933083,41.49220216388731,4.353809523809524,0.68,6.6,0.88,2.04,2371986,1,200,BR1_2330317559
179,40.66808120777032,3.078920634920634,0.64,5.92,0.48,2.08,4757885,36.392476948303695,3.927238095238095,0.48,4.96,0.48,1.92,946011,1,100,BR1_2330304629
180,40.8289411187549,3.3986666666666663,0.64,6.52,0.48,2.12,5597085,43.36704363579036,3.726396825396825,0.52,4.76,0.4,1.56,194954,1,100,BR1_2332338894
181,40.0911135249453,3.2291111111111106,0.72,6.16,0.48,1.8,3083438,43.6508373217834,3.056838605838605,0.48,4.36,0.4,1.6,3549743,1,100,BR1_2332385970
